	id_str	cleaned_text	flat_words
0	535136205659471872	 : Ebola Update: Woman who died in New York tests negative for Ebola. Read more here 	Ebola Update Woman die New York test negative Ebola Read
1	535136206552825857	 : Buying  goes directly to fighting Ebola. Watch the video now which includes  + ! …	Buying go directly fight Ebola Watch video includes …
2	535136207773388800	 : The media furiously covered Ebola ... until just after the midterms.   	The medium furiously cover Ebola midterm
3	535136208884879361	My friend is dressed up at work like he is gonna meet ebola or some shit hahah	My friend dress work like gon meet ebola shit hahah
4	535136209912479745	 : Photo of the Day! A ship lands in Sierra Leone full of supplies to help eradicate Ebola. Photo by Michael Duff. …	Photo Day A ship land Sierra Leone full supply help eradicate Ebola Photo Michael Duff …
5	535136209899880448	CDC chief drops worst-case Ebola estimate -  	CDC chief drop worstcase Ebola estimate
6	535136209941848068	 : PAY IS OVER IT'S OVER.... Twimbos after hearing someone at the party has Ebola #FreeTwitterFarewellParty …	PAY IS OVER ITS OVER Twimbos hearing someone party Ebola FreeTwitterFarewellParty …
7	535136210272780288	 : How Robots Could Help Beat Ebola  My interview on NPR Health. 	How Robots Could Help Beat Ebola My interview NPR Health
8	535136212420657152	 Please have CNN take down the picture of a Sikh at the airport with ebola article. Thanks	Please CNN take picture Sikh airport ebola article Thanks
9	535136215779905537	" : all I hear in school.
-ebola 
-yeet
-bruhh
-whats 9 + 10
-21
-ebola
-tacos
-my anaconda don't 
-ebola
-bout a week ago 
-a…"	I hear school ebola yeet bruhh whats 9 10 21 ebola taco anaconda ebola bout week ago a…
10	535136216556269568	" : Impact of #Ebola ""means half of all workers have lost their jobs"" in Liberia  "	Impact Ebola mean half worker lose job Liberia
11	535136217021833217	 : Woman monitored for Ebola dies in Brooklyn hair salon  	Woman monitor Ebola dy Brooklyn hair salon
12	535136219068264448	 : Perfect storm: During Obama Amnesty speech Ferguson Jury acquits Bill Cosby holds rival presser on cruise ship where he admit…	Perfect storm During Obama Amnesty speech Ferguson Jury acquits Bill Cosby hold rival presser cruise ship admit…
13	535136227260104705	#ModiMinistry Illumina teams with US govt, researchers to sequence Ebola 	ModiMinistry Illumina team US govt researcher sequence Ebola
14	535136230418440192	 : A woman who returned from Guinea 18 days ago and was on an Ebola monitoring list dropped dead in a Brooklyn hair salon…	A woman return Guinea 18 day ago Ebola monitor list drop dead Brooklyn hair salon…
15	535136232486240256	""": Treat #Ebola as a natural disaster like a tsunami or earthquake. We don't need celebrities making #Africa a basket case."	Treat Ebola natural disaster like tsunami earthquake We need celebrity make Africa basket case
16	535136233811623937	" : Yay, we got stupider! ""Ebola Ranks Among Americans' Top Three Healthcare Concerns""  …"	Yay get stupider Ebola Ranks Among Americans Top Three Healthcare Concerns …
17	535136234784296960	Liberian workforce hard-hit by Ebola: Nearly half of all Liberians who were employed when the Eb...  &lt;--Full Story	Liberian workforce hardhit Ebola Nearly half Liberians employ Eb ltFull Story
18	535136237599064064	Things I hear at school: 21, What's 9+10, My anaconda don't, Illuminati confirmed, ya mum, got any chewing gum, ebola and 'bout a week ago.	Things I hear school 21 What 910 My anaconda Illuminati confirm ya mum get chew gum ebola bout week ago
19	535136238945443842	" : CDC chief drops worst-case Ebola estimate

#7news #KSWO #CDC #Ebola"	CDC chief drop worstcase Ebola estimate 7news KSWO CDC Ebola
20	535136243663646720	India quarantines man with Ebola-infected semen - Cuban doctor diagnosed with Ebola in Sierra Leone - TRACKING... 	India quarantine man Ebolainfected semen Cuban doctor diagnose Ebola Sierra Leone TRACKING
21	535136244192530432	"just heard that  is gonna pocket £100,000 for 72 hours in the jungle! 😱 hope she caught ebola. 
+  are fucking idiots"	heard gon pocket 100000 72 hour jungle 😱 hope caught ebola fuck idiot
22	535136249301180416	 : POTUS &amp; Prince Mitib discussed efforts to promote stability in #Yemen, intl response to counter #Ebola, &amp; status of P5+1 nuke…	POTUS amp Prince Mitib discuss effort promote stability Yemen intl response counter Ebola amp status P51 nuke…
23	535136252086210562	 : Please note, travelers around the world, South Africa has not had a single case of Ebola. Travelers to SA face no risk w…	Please note traveler around world South Africa single case Ebola Travelers SA face risk w…
24	535136258620932096	  I genuinely hope you are the first case oh ebola in dogs	I genuinely hope first case oh ebola dog
25	535136261380780032	New: Tourists avoid southern Africa over Ebola fears - even though it's 3,000 miles from danger zone #news  #follow	New Tourists avoid southern Africa Ebola fear even though 3000 mile danger zone news follow
26	535136263792504833	 : Maybe Nigerian doesn't want to go. Scared of another ebola epidemic from guinea.	Maybe Nigerian want go Scared another ebola epidemic guinea
27	535136273506504706	" I hope it comes on after the ""Ebola special"" LMAOOO"	I hope come Ebola special LMAOOO
28	535136277126205440	" :  has joined the effort to raise awareness in the fight against the Ebola virus. #CFC
https://t.co/dm0zQUuYaU"	join effort raise awareness fight Ebola virus CFC https//tco/dm0zQUuYaU
29	535136277579186177	Would rather get Ebola then see rons music rants on Twitter	Would rather get Ebola see ron music rant Twitter
30	535136286672445440	 : Confirmed: Ebola Coverage On TV News Plummeted After Midterms;  	Confirmed Ebola Coverage On TV News Plummeted After Midterms
31	535136292133031936	Celeb-filled, stirring ad confronts world leaders' slow response to Ebola crisis in West Africa  via 	Celebfilled stir ad confronts world leader slow response Ebola crisis West Africa via
32	535136293475598336	New at RRND: Cuban Doctor Infected With Ebola to Be Treated in Switzerland 	New RRND Cuban Doctor Infected With Ebola Be Treated Switzerland
33	535136296579366913	 : 69 US troops quarantined, 1 monitored for Ebola after West Africa trip 	69 US troop quarantine 1 monitor Ebola West Africa trip
34	535136298601033728	 : India Quarantines #Ebola Survivor Because Of Infectious Semen 	India Quarantines Ebola Survivor Because Of Infectious Semen
35	535136302208131074	 : NYC Woman on #Ebola Watchlist Dies Bleeding From Mouth, Authorities Say “Heart Attack” - 	NYC Woman Ebola Watchlist Dies Bleeding From Mouth Authorities Say “Heart Attack”
36	535136304477274113	#prayerwarriors: Pray for those dying of Ebola:   #ebola	prayerwarriors Pray die Ebola ebola
37	535136324467302400	Immigration reform....but but but...Gruber, Benghazi, Ebola, IRS.....BUT STFU.	Immigration reformbut butGruber Benghazi Ebola IRSBUT STFU
38	535136308696330240	Control of communicable diseases, with an emphasis on Ebola-Marburg viral diseases: The ADA has resources avai... 	Control communicable disease emphasis EbolaMarburg viral disease The ADA resource avai
39	535136312987488256	 : #EbolaResponse facts: Ebola is not a death sentence. Early treatment means a much better chance of survival. …	EbolaResponse fact Ebola death sentence Early treatment mean much better chance survival …
40	535136314044448768	National News: Cautious NYC Tested Dead Body for Ebola: 'Woman who died of apparent heart attack found not to ... 	National News Cautious NYC Tested Dead Body Ebola Woman die apparent heart attack find
41	535136317123080192	Un Tal Coqketo ;$ ☻↨ India quarantines man with Ebola-infected semen - Cuban doctor d...  Un Tal Coqketo ;$ ☻↨	Un Tal Coqketo ☻↨ India quarantine man Ebolainfected semen Cuban doctor d Un Tal Coqketo ☻↨
42	535136322378539009	 : My friend, Trish Henwood, is in Liberia fighting Ebola.  This 60 minutes story shows the amazing work she's doing. …	My friend Trish Henwood Liberia fight Ebola This 60 minute story show amaze work …
43	535136329089032192	 We've joined with Ebola and ISIS. You're history, bro. #Ferguson	We join Ebola ISIS You history bro Ferguson
44	535136329710186496	 :  this if u love pizza.IGNORE if u want ebola.🙅🙅🙅🙅🙅 	u love pizzaIGNORE u want ebola🙅🙅🙅🙅🙅
45	535136330947506176	"Bafana Bafana are getting rid of
Ebola...just to make AFCON a safe
place #Rantie #Bafana"	Bafana Bafana get rid Ebolajust make AFCON safe place Rantie Bafana
46	535136342280531968	 : I predict the  person of the year will be the #Ebola healthcare worker	I predict person year Ebola healthcare worker
47	535136347057848320	 : Fascinating.Empty seats and no cameras for hearing on Ebola &amp; public health:threats,lessons learned,and preparedness http://…	FascinatingEmpty seat camera hearing Ebola amp public healththreatslessons learnedand preparedness http//…
48	535136349897392128	"Hahaha please STOP "": HIV is destroying EBOLA"""	Hahaha please STOP HIV destroy EBOLA
49	535136352111570944	 : I hate seeing people in pain. I really wish I could hug them all but Ebola	I hate see people pain I really wish I could hug Ebola
